1,-38
2,-33
3,-34
4,-39
5,-36
6,-19
7,4
8,15
9,5
10,-10
11,-11
12,7
13,26
14,27
15,11
16,-9
17,-23
18,-27
19,-25
20,-15
21,0
22,12
23,15
24,9
25,2
26,3
27,10
28,14
29,8
30,-13
31,-40
32,-62
33,-72
34,-77
35,-87
36,-107
37,-127
38,-136
39,-138
40,-145
41,-165
42,-187
43,-194
44,-185
45,-175
46,-175
47,-178
48,-167
49,-137
50,-102
51,-75
52,-58
53,-42
54,-27
55,-17
56,-15
57,-12
58,-2
59,11
60,15
61,5
62,-5
63,-5
64,0
65,-3
66,-12
67,-14
68,5
69,35
70,61
71,77
72,90
73,108
74,124
75,129
76,120
77,107
78,100
79,94
80,80
81,54
82,23
83,4
84,8
85,32
86,59
87,71
88,63
89,54
90,62
91,87
92,110
93,112
94,96
95,82
96,85
97,99
98,111
99,116
100,119
101,123
102,121
103,106
104,86
105,77
106,93
107,130
108,177
109,230
110,299
111,395
112,520
113,667
114,829
115,1004
116,1185
117,1348
118,1449
119,1467
120,1417
121,1337
122,1237
123,1075
124,803
125,436
126,65
127,-211
128,-370
129,-474
130,-588
131,-700
132,-739
133,-661
134,-505
135,-355
136,-263
137,-221
138,-193
139,-162
140,-144
141,-159
142,-199
143,-237
144,-255
145,-254
146,-244
147,-233
148,-216
149,-192
150,-166
151,-148
152,-141
153,-140
154,-141
155,-142
156,-144
157,-145
158,-141
159,-135
160,-132
161,-136
162,-139
163,-132
164,-114
165,-103
166,-108
167,-121
168,-122
169,-103
170,-77
171,-65
172,-66
173,-60
174,-32
175,6
176,28
177,20
178,2
179,-1
180,11
181,17
182,1
183,-24
184,-30
185,-9
186,15
187,17
188,-3
189,-18
190,-7
191,22
192,43
193,44
194,40
195,49
196,75
197,106
198,125
199,130
200,132
201,141
202,157
203,171
204,175
205,168
206,159
207,159
208,173
209,191
210,197
211,186
212,171
213,175
214,197
215,219
216,216
217,193
218,175
219,179
220,190
221,188
222,170
223,156
224,156
225,158
226,139
227,104
228,78
229,76
230,81
231,67
232,27
233,-18
234,-44
235,-55
236,-63
237,-77
238,-93
239,-106
240,-116
241,-125
242,-130
243,-129
244,-127
245,-135
246,-154
247,-176
248,-192
249,-203
250,-217
251,-234
252,-253
253,-272
254,-286
255,-292
256,-288
257,-279
258,-271
259,-262
260,-245
261,-217
262,-189
263,-183
264,-204
265,-232
266,-241
267,-225
268,-208
269,-214
270,-241
271,-263
272,-260
273,-241
274,-228
275,-234
276,-245
277,-243
278,-230
279,-225
280,-236
281,-245
282,-234
283,-204
284,-177
285,-170
286,-179
287,-182
288,-173
289,-159
290,-151
291,-154
292,-161
293,-166
294,-164
295,-153
296,-135
297,-117
298,-101
299,-88
300,-75
301,-63
302,-58
303,-63
304,-66
305,-60
306,-48
307,-46
308,-59
309,-78
310,-87
311,-78
312,-55
313,-27
314,0
315,24
316,43
317,58
318,67
319,72
320,77
321,82
322,86
323,77
324,49
325,11
326,-13
327,-8
328,15
329,20
330,-5
331,-37
332,-45
333,-24
334,-6
335,-17
336,-45
337,-61
338,-59
339,-66
340,-100
341,-144
342,-166
343,-161
344,-158
345,-181
346,-220
347,-243
348,-235
349,-213
350,-195
351,-178
352,-152
353,-118
354,-92
355,-81
356,-68
357,-40
358,0
359,28
360,34
361,29
362,30
363,40
364,47
365,41
366,21
367,1
368,-9
369,-1
370,17
371,32
372,33
373,31
374,50
375,94
376,137
377,147
378,122
379,93
380,89
381,103
382,108
383,93
384,72
385,63
386,63
387,62
388,61
389,71
390,93
391,113
392,114
393,95
394,78
395,78
396,95
397,116
398,132
399,141
400,150
401,160
402,168
403,170
404,168
405,166
406,163
407,158
408,151
409,158
410,196
411,264
412,353
413,446
414,545
415,660
416,798
417,960
418,1139
419,1313
420,1441
421,1485
422,1446
423,1372
424,1305
425,1213
426,1006
427,646
428,215
429,-136
430,-321
431,-398
